,text,first_cates,sec_cates,cates
0,"Владелец рекламной конструкции (физическое или юридическое лицо) - собственник рекламной конструкции либо иное лицо, обладающее вещным правом на рекламную конструкцию или правом владения и пользования рекламной конструкцией на основании договора с ее собственником.",DEF,NON,"DEF,NON"
1,"Оператор социальной рекламы не вправе: использовать сведения, указанные в пункте 3 части 3.10 настоящей статьи, в коммерческих, а также иных целях, не предусмотренных настоящим Федеральным законом, в том числе для распространения рекламы, не являющейся социальной рекламой;",BAN,LOYAL,"BAN,LOYAL"
2,"в случаях, установленных федеральными законами, готовит и вносит для принятия решения в Правительство Российской Федерации предложения об изъятии соответствующих полномочий у органов государственной власти субъектов Российской Федерации.",DEC,NON,"DEC,NON"
3,"При наличии обстоятельств, предусмотренных пунктами ""г"" - ""и"" части первой статьи 16 настоящего Федерального закона, Президент Российской Федерации вправе рассмотреть вопрос о приеме в гражданство Российской Федерации или восстановлении в гражданстве Российской Федерации иностранных граждан и лиц без гражданства в соответствии со статьями 13 - 15 настоящего Федерального закона.",ALLOW,NON,"ALLOW,NON"
4,При замене товара гарантийный срок исчисляется заново со дня передачи товара потребителю.,OTHER,NON,"OTHER,NON"
5,Отсутствие у потребителя товарного чека или кассового чека либо иного подтверждающего оплату товара документа не лишает его возможности ссылаться на свидетельские показания.,ALLOW,FAIR,"ALLOW,FAIR"
6,"К таким мерам, в частности, относятся: 5) оценка вреда в соответствии с требованиями, установленными уполномоченным органом по защите прав субъектов персональных данных, который может быть причинен субъектам персональных данных в случае нарушения настоящего Федерального закона, соотношение указанного вреда и принимаемых оператором мер, направленных на обеспечение выполнения обязанностей, предусмотренных настоящим Федеральным законом;",DEC,NON,"DEC,NON"
7,"объединение в составе саморегулируемой организации в качестве ее членов не менее двадцати пяти субъектов предпринимательской деятельности или не менее ста субъектов профессиональной деятельности определенного вида, если федеральными законами в отношении саморегулируемых организаций, объединяющих субъектов предпринимательской или профессиональной деятельности, не установлено иное",DEC,LOYAL,"DEC,LOYAL"
8,В целях предотвращения негативного воздействия на окружающую среду хозяйственной и (или) иной деятельности устанавливаются следующие нормативы допустимого воздействия на окружающую среду: технологические нормативы;,UNCHECKED,NON,"UNCHECKED,NON"
9,"При прекращении административного надзора не исключается установление судом административного надзора повторно в отношении лица, указанного в части 1 статьи 3 настоящего Федерального закона, при наличии основания, предусмотренного пунктом 2 части 3 статьи 3 настоящего Федерального закона, в течение срока, установленного законодательством Российской Федерации для погашения судимости.",ALLOW,PUR,"ALLOW,PUR"
10,"Вред, причиненный вследствие недостатков работы или услуги, подлежит возмещению исполнителем.",DUTY,FAIR,"DUTY,FAIR"
11,"5) лица, награжденные знаком ""Жителю блокадного Ленинграда"", лица, награжденные знаком ""Житель осажденного Севастополя"", и лица, награжденные знаком ""Житель осажденного Сталинграда"";",ALLOW,AUTH,"ALLOW,AUTH"
12,"Неустранимые сомнения в виновности лица, привлекаемого к административной ответственности, толкуются в пользу этого лица.",DEC,FAIR,"DEC,FAIR"
13,"9) иные установленные нормативными правовыми актами Российской Федерации сведения, необходимые для осуществления контроля за оборотом оружия.",DUTY,NON,"DUTY,NON"
14,"Официальное наименование Российская Федерация или Россия, а также слова, производные от этого наименования, используются без разрешения, указанного в пункте 4 настоящей статьи, в наименованиях: централизованных религиозных организаций, структуры которых действовали на территории Российской Федерации на законных основаниях на протяжении не менее пятидесяти лет на момент обращения такой религиозной организации с заявлением о государственной регистрации, и (или) религиозных организаций, входящих в структуру централизованной религиозной организации того же вероисповедания, структуры которой действовали на территории Российской Федерации на законных основаниях на протяжении не менее пятидесяти лет на момент обращения такой религиозной организации с заявлением о государственной регистрации, на основании письменного согласия указанной централизованной религиозной организации;",ALLOW,PUR,"ALLOW,PUR"
15,"для доставления в служебное помещение территориального органа или подразделения полиции, в помещение муниципального органа, в иное служебное помещение лиц, совершивших преступления и административные правонарушения, и задержания этих лиц;",GOAL,NON,"GOAL,NON"
16,<...> а также правовое регулирование трудовых отношений и иных непосредственно связанных с ними отношений по: материальной ответственности работодателей и работников в сфере труда,DEC,FAIR,"DEC,FAIR"
17,"Уполномоченный орган по защите прав субъектов персональных данных имеет право: 4) принимать в установленном законодательством Российской Федерации порядке меры по приостановлению или прекращению обработки персональных данных, осуществляемой с нарушением требований настоящего Федерального закона;",ALLOW,NON,"ALLOW,NON"
18,"В согласии на обработку персональных данных, разрешенных субъектом персональных данных для распространения, субъект персональных данных вправе установить запреты на передачу (кроме предоставления доступа) этих персональных данных оператором неограниченному кругу лиц, а также запреты на обработку или условия обработки (кроме получения доступа) этих персональных данных неограниченным кругом лиц.",ALLOW,NON,"ALLOW,NON"
19,"Полиция обеспечивает каждому гражданину возможность ознакомления с документами и материалами, непосредственно затрагивающими его права и свободы, если иное не установлено федеральным законом.",DEC,NON,"DEC,NON"
20,"Отказ работодателя предоставить предусмотренный законом отпуск зарегистрированному кандидату, доверенному лицу зарегистрированного кандидата, избирательного объединения для проведения агитационной и иной предусмотренной законом деятельности, способствующей избранию зарегистрированного кандидата, списка кандидатов, а равно отказ работодателя освободить от работы в установленном законом порядке члена избирательной комиссии, комиссии референдума для участия в подготовке и проведении выборов, референдума - (в ред. Федерального закона от 21.07.2005 N 93-ФЗ) влечет наложение административного штрафа в размере от одной тысячи пятисот до двух тысяч рублей.",BAN,CARE,"BAN,CARE"
21,К полномочиям органов государственной власти Российской Федерации в области жилищных отношений относятся: 4) определение порядка предоставления малоимущим гражданам по договорам социального найма жилых помещений муниципального жилищного фонда;,OTHER,NON,"OTHER,NON"
22,"Кандидатом на должность атамана казачьего общества не может быть выдвинут член хуторского, станичного или городского казачьего общества: 5) признанный судом недееспособным или ограниченно дееспособным;",BAN,PUR,"BAN,PUR"
23,"3. Права на денежные средства, в отношении которых в банке совершено завещательное распоряжение, входят в состав наследства и наследуются на общих основаниях в соответствии с правилами настоящего Кодекса. Эти средства выдаются наследникам на основании свидетельства о праве на наследство и в соответствии с ним, за исключением случаев, предусмотренных пунктом 3 статьи 1174 настоящего Кодекса.",OTHER,NON,"OTHER,NON"
